color,team name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,time ball possession,time ball in own side,demos inflicted,demos taken
orange,MIZZOU,338,699,1,1,3,7,5,2,14.29,1112,141.03,6088,3726,2362,43,207,1641,883,758,10,65,139.8,59.06,555,507,72,1475313,442.77,444.9,116.27,549.04,405.91,48.98,25.81,335,737.77,266.15,614.77,389.16,430.39,346.21,227.33,166.24,146.56,2,3
blue,UNLV,326,672,0,0,3,11,5,2,0,1372,153.54,7355,5442,1913,67,175,1687,976,711,11,66,117.37,94.4,1302,1219,159,1489172,394.33,396.34,177.74,535.52,382.8,50.11,13.61,114,677.09,291.33,507.13,461.29,321.01,340.57,306.83,164.48,118.75,4,3
orange,MIZZOU,326,1204,2,1,8,5,11,0,40,1124,130.29,6027,3867,2160,45,193,1030,587,443,7,42,143.56,51.85,709,520,126,1418479,443.49,406.31,117.6,540.8,370.12,56.47,30.35,355,691.19,276.21,703.98,263.42,545.52,283.65,138.24,128.85,197.65,3,4
blue,MISSOURI S&T,389,1270,3,2,4,7,10,4,42.86,1126,123.08,6793,4351,2442,48,210,1277,612,665,7,54,171.84,82.41,541,511,100,1599162,561,458.49,139.62,648.54,442.87,67.71,25.26,241,831.35,327.78,797.37,361.74,605.7,331.82,221.59,160.36,195.45,2,2
orange,UT ARLINGTON,389,1362,4,4,3,10,7,3,40,1329,149.7,8504,6431,2073,76,180,2163,1438,725,17,59,171.14,130.44,1025,1083,299,1698477,486.59,472.23,195.86,635.11,459.53,60.05,35.83,349,827.73,326.95,719.09,435.6,526.25,366.88,261.55,125.04,150.88,2,2
blue,MISSOURI S&T,315,754,1,1,3,8,4,0,12.5,1284,141.35,7007,4735,2272,58,191,1952,1220,732,16,57,120.97,80.28,1066,1108,383,1447228,391.56,390.74,157.35,534.49,343.04,62.12,22.81,216,721.74,217.92,560.84,378.82,399.68,320.39,219.58,130.06,130,2,3
orange,UT ARLINGTON,315,861,0,0,6,4,8,1,0,1262,146.26,6456,4614,1842,54,160,1925,1323,602,15,46,137.53,85.44,822,757,71,1454624,380.52,392.71,166.7,499.99,373.74,66.22,32.34,280,583.91,356.01,611.24,328.7,446.52,297.77,195.65,163.14,180.33,3,2
blue,MISSOURI S&T,343,759,1,1,3,3,8,3,33.33,1140,145.58,6206,3900,2306,48,203,955,532,423,7,40,154.87,102.5,727,1001,182,1485582,468.19,408.18,150.96,588.73,381.59,57.02,21.51,213,689.59,337.76,763.69,263.66,573.81,310.67,142.88,125.25,203.52,1,1
orange,UT ARLINGTON,343,1099,3,3,2,8,3,1,37.5,1347,153.25,7618,5686,1932,68,177,2506,1677,829,19,75,116.76,128.12,929,986,188,1567439,414.98,419.62,193.01,566.05,384.66,76.89,33.29,309,751.27,276.31,528.29,499.3,345.2,391.34,291.06,154.27,119.84,1,1
blue,MISSOURI S&T,326,954,2,1,3,6,4,0,33.33,1176,138.07,6141,3578,2563,40,220,1167,523,644,6,57,122.72,74.22,970,511,92,1392184,473.06,356.02,138.75,557.64,350.31,59.89,23.93,211,748.34,219.47,596.98,370.85,428.93,322.34,216.55,159.71,141.8,3,4
orange,UT ARLINGTON,326,663,0,0,4,4,6,2,0,1397,161.9,7544,5911,1633,73,153,1805,1337,468,16,45,106.18,125.9,1127,1321,234,1507283,371.01,403.55,196.23,571.21,345.08,54.5,33.66,280,631.42,339.36,621.81,348.97,469.51,297.96,203.3,129.14,174.84,4,3
blue,MISSOURI S&T,458,1319,4,4,4,9,10,5,44.44,1102,124.39,7944,4956,2988,58,264,1292,574,718,7,63,206.13,103.18,785,924,143,1906413,645.92,536.13,178.47,754.59,513.2,92.73,28.38,274,1015.61,344.91,976.07,384.45,751.7,410.88,197.95,166.09,223.93,3,4
orange,UT ARLINGTON,458,1486,5,5,3,10,9,4,50,1321,158.74,9754,7399,2355,92,211,2140,1450,690,18,65,163.98,163.35,1840,1822,282,2028588,562.55,520.34,280.78,772.03,489.81,101.82,36.52,331,977.73,385.92,827.43,536.23,578.38,476.24,309.04,168.64,188.24,4,3
blue,NKU,365,754,1,1,1,5,9,5,20,1234,136.48,7636,5623,2013,65,182,2090,1457,633,17,55,155.48,117.35,1542,920,250,1590809,475.28,419.37,191.17,623.38,393.2,69.23,22.04,259,757.04,328.78,662.07,423.75,471.73,355.65,258.44,164.92,150.01,10,3
orange,AKRON,365,1475,5,3,4,9,5,1,55.56,1273,144.96,7699,5161,2538,62,219,1865,1113,752,13,61,117.95,112.62,1098,1045,144,1535022,469.44,402.29,194.82,578.26,420.95,67.33,22.5,235,751.91,314.65,704.49,362.06,508.47,348.12,209.96,124.78,184.74,3,10
blue,NKU,324,737,0,0,5,7,8,2,0,1183,138.25,6376,3980,2396,45,190,1424,856,568,10,44,130.53,70.86,1135,444,142,1431927,451.04,372.79,142.1,553.43,342.64,69.86,21.7,219,655.46,310.47,669.1,296.83,508.17,281.99,175.77,140.06,201.95,5,2
orange,AKRON,324,995,2,0,6,8,7,0,25,1272,147.17,6979,4728,2251,56,195,2102,1366,736,14,67,121.24,102.11,1008,817,61,1457510,382.45,409.21,164.98,528.52,359.12,69,24.97,222,704.38,252.27,529.33,427.31,364.01,339.14,253.49,154.9,112.04,2,5
blue,NKU,390,1063,3,3,3,7,10,7,42.86,1010,129.84,6203,4227,1976,48,173,962,566,396,6,36,127.93,77.53,721,509,32,1540516,614.67,383.03,156.99,650.41,445.18,59.11,24.41,265,803.31,351.38,876.84,277.86,687.01,326.84,140.83,139.77,218.74,3,4
orange,AKRON,390,1679,7,6,2,10,7,3,70,1353,147.53,8734,6274,2460,75,210,2597,1691,906,20,79,116.96,108.01,1468,1203,306,1715274,459.79,467.14,231.02,663.6,437.53,56.82,30.11,298,882.06,275.89,635.46,522.49,441.46,400.64,315.85,140.32,122.14,4,3
blue,PENN STATE,334,1196,3,3,3,6,5,0,50,1211,165.03,6631,4286,2345,54,196,1128,559,569,8,50,69.88,163.49,805,1084,151,1457130,478.94,362.12,156.76,580.57,357.24,60,19.2,202,737.11,260.69,666.57,331.24,491,331.64,175.17,144.96,167.75,5,2
orange,SETON ,334,684,0,0,3,5,6,3,0,1231,138.85,6745,4399,2346,53,204,1725,997,728,12,61,139.85,95.92,801,955,212,1480826,413.61,403.5,170.41,546.42,381.98,59.12,17.99,148,677.33,310.19,608.78,378.73,414.42,358.02,215.07,141.57,151.72,2,5
blue,PENN STATE,324,1219,2,2,6,10,7,0,20,1179,155.47,6422,4658,1764,56,153,1300,868,432,9,37,94.51,134.63,666,906,35,1413083,458.38,368.05,143.18,538.74,369.16,61.72,16.56,175,698.69,270.91,646.82,322.78,476.08,286.21,207.32,137.37,166.53,0,1
orange,SETON ,324,834,0,0,6,7,10,2,0,1186,141.8,6199,4343,1856,51,170,1579,911,668,10,61,157.54,100.38,837,755,103,1491240,402.26,399.68,170.73,503.54,407.28,61.87,18.16,152,643.42,329.27,550.75,421.93,388.81,331.96,251.93,142.56,147.63,1,0
blue,PENN STATE,383,1263,2,1,7,5,10,1,40,1180,143.89,7442,4594,2848,57,243,1408,474,934,6,82,119.54,133.13,1090,1014,88,1685611,515.54,440.96,182.11,652.6,422.01,64,21.68,218,812.27,326.34,727.96,410.65,537.8,361.54,239.29,170.57,184.49,1,4
orange,SETON ,383,674,1,1,1,10,5,2,10,1213,144.05,7858,5791,2067,67,186,1522,907,615,10,53,160.01,98.52,1359,957,91,1711834,492.79,470.59,183.57,661.37,437.11,48.48,23.45,200,846.29,300.65,743.05,403.88,533.05,392.58,221.31,161.6,183.72,4,1
blue,PENN STATE,369,870,1,1,5,5,11,6,20,1201,147.14,7584,5302,2282,67,205,1306,595,711,8,60,110.33,122.95,906,1310,198,1607043,473.67,447.31,176.09,639.64,392.91,64.54,18.36,207,749.61,347.46,745.77,351.3,550.23,353.2,193.65,132.33,174.48,4,3
orange,SETON ,369,1626,6,3,3,11,5,1,54.55,1228,133.46,7203,5133,2070,59,175,1571,1036,535,11,50,171.28,108.16,836,836,90,1591770,464.98,461.41,167.7,600.36,424.75,68.97,19.1,171,835.11,258.99,688,406.08,529.08,308.13,256.88,146.62,158.7,3,4
blue,STOCKTON,400,1350,2,1,7,10,12,3,20,1229,150.29,7990,5535,2455,66,219,1384,629,755,7,69,102.82,126.1,892,1132,47,1724327,531.22,487.64,168.62,645.8,446.93,94.76,25.29,244,841.39,346.1,791.72,395.77,602.98,355.64,228.88,163.25,188.07,1,4
orange,NUW,400,1531,3,3,6,12,10,2,25,1151,135.27,7654,5523,2131,64,192,1459,756,703,9,61,202.03,107.46,744,753,132,1648503,609.16,450.58,137.14,611.1,506.1,79.66,26.43,237,872.61,324.26,746.93,449.93,534.51,394.23,268.13,158.82,186.57,4,1
blue,STOCKTON,505,903,1,1,2,11,8,2,9.09,1234,145.77,10159,6675,3484,82,297,1533,643,890,8,76,160.12,143.3,934,1594,164,2172410,723.56,581.6,196.88,855.39,553.03,93.63,38.61,349,1138.37,363.68,1022.18,479.87,775.07,443.97,283,231.97,268.97,3,4
orange,NUW,505,1387,2,2,9,8,11,1,25,1204,154.18,10121,7122,2999,86,255,1967,1090,877,14,78,215.78,163.99,1410,1439,260,2200682,705.15,598.45,203.53,786.82,601.37,118.94,34.11,303,1086.84,420.3,908.02,599.11,636.5,523.92,346.72,236.65,223.41,4,3
blue,STOCKTON,356,852,1,0,5,5,11,4,20,1214,143.78,7140,5008,2132,59,192,1699,1046,653,12,59,113.46,110.61,845,966,183,1511824,496.21,427.08,140.15,600.21,404.18,59.05,21.91,225,738.15,325.29,716.74,346.7,537.02,318.03,208.4,143.83,182.01,3,1
orange,NUW,356,1327,4,2,5,11,5,1,36.36,1231,144.66,7174,5331,1843,62,158,1180,671,509,8,37,159.98,121.02,947,828,79,1512742,491.84,412.63,151.5,578.08,411.55,66.34,26.69,232,796.57,259.39,674.03,381.92,498.49,329.24,228.23,146.86,148.4,1,3
blue,STOCKTON,282,585,1,1,3,2,4,1,50,728,180.21,3084,2413,671,28,60,603,370,233,4,21,52.26,71.72,154,408,33,615717,306.43,236.14,85.58,344.19,240.06,43.91,6.24,59,404.7,223.46,475.67,152.49,412.65,115.29,100.21,103.78,178.83,1,0
orange,NUW,282,484,1,0,0,4,2,1,25,1241,167.24,5867,4579,1288,60,121,1322,872,450,10,42,134.87,120.82,417,1292,131,1327432,292.38,356.28,193.27,353.05,424.13,64.74,17.43,175,612.2,229.72,490.81,351.12,341.42,284.39,216.1,136.35,93.85,0,1
