color,team name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,time ball possession,time ball in own side,demos inflicted,demos taken
orange,OTTAWA,346,1001,3,2,2,9,4,1,33.33,1287,142.92,7473,4935,2538,60,212,2087,1150,937,13,76,99.82,80.56,1211,973,144,1529793,449.96,396.42,182.83,612.54,359.87,56.8,24.12,222,768.74,260.47,576.27,452.94,368.67,393.45,267.1,153.29,115.23,5,3
blue,CSUF,336,706,1,0,4,5,6,2,20,1158,161.55,6457,4399,2058,57,173,1877,1143,734,14,58,129.18,118.22,1028,1211,277,1488838,449.04,387.74,164.93,554.29,393.3,54.11,21.24,236,705.22,296.48,620.56,381.13,450.58,335.09,216.04,155.27,169.45,4,2
orange,OTTAWA,336,956,2,1,4,6,5,1,33.33,1157,156.06,6370,4413,1957,53,169,1290,698,592,9,45,103.09,124.39,849,934,215,1456827,456.21,396.21,141.71,586.4,339.66,68.04,21.14,205,745.59,248.52,670.28,323.83,476.12,334.61,183.38,138.74,151.34,2,4
blue,STOCKTON,357,1082,3,1,5,13,9,2,23.08,1201,138.98,6942,4913,2029,61,178,1346,687,659,7,52,100.69,116.1,1118,1216,16,1513731,502.65,403.51,155.04,630.49,371.33,59.39,19.38,202,777.22,283.99,737.25,323.96,570.43,309.27,181.52,142.99,181.83,3,3
orange,PENN STATE,357,1112,2,2,7,9,13,3,22.22,1258,144.15,7704,5441,2263,65,206,1736,954,782,11,70,126.72,127.5,869,1043,121,1549133,471.9,434.25,153.79,600.98,399.69,59.27,20.78,202,762.78,297.16,648.96,410.99,482.45,323.11,254.39,149.15,149.68,3,3
blue,STOCKTON,428,1601,3,3,8,10,12,2,30,1181,141.09,8273,6016,2257,67,196,1303,771,532,9,47,164.68,106.65,881,737,136,1778425,640.79,473.1,158.66,721.26,473.37,77.93,25.83,256,922.28,350.28,892.98,379.47,694.92,362.66,214.96,166.71,243.68,5,4
orange,PENN STATE,428,1183,2,2,4,12,10,3,16.67,1268,148.77,8919,6020,2899,72,244,1805,944,861,12,79,155.33,160.17,1303,1137,300,1849436,569.12,502.13,196.28,749.14,441.18,77.21,28.24,278,945.49,322.04,741.5,526.03,520.62,425.03,321.89,194.52,158.94,4,5
blue,STOCKTON,356,1472,3,3,7,8,9,1,37.5,1138,141.15,6488,4568,1920,54,172,1388,939,449,10,42,114.79,127.14,832,871,62,1532630,488.58,437.54,135.17,618.65,381.96,60.68,19.7,210,814.77,246.51,751.95,309.34,581.45,300.92,178.92,182.41,188.96,1,2
orange,PENN STATE,356,813,1,0,4,9,8,3,11.11,1260,158.86,7340,5161,2179,61,193,1913,1082,831,12,70,120.51,148.01,1061,1001,124,1599323,441.88,436.9,185.68,616.61,393.05,54.79,21.3,213,734.77,329.69,643.33,421.12,452.18,367.25,245.04,118.5,146.95,2,1
blue,BOISE STATE,418,1154,2,2,3,11,7,3,18.18,1362,150.84,9217,6685,2532,77,231,2358,1589,769,17,69,123.16,92.16,1282,996,87,1901083,486.13,550.88,211.77,707.59,458.88,82.31,30.6,347,883.13,365.65,807.3,441.49,570.87,417.55,260.35,175.5,207.13,1,2
orange,UTD,418,1442,3,0,9,7,11,2,42.86,1159,130.95,7862,5090,2772,59,244,1964,1163,801,13,70,157.54,119.37,1131,876,142,1777729,607.67,483.22,160.92,708.09,470.57,73.15,36.98,358,904.16,347.66,805,446.8,588.22,408.42,255.16,174.81,186,2,1
